11,2.8,2.9
12,2.9,3.9
13,3.1,3.8
14,3.4,4.6
15,3.6,5.2
16,3.8,5.8
17,4.9,6.7
18,4.9,8.2
19,5,8.3
22,2,2.1
23,2.1,2.3
24,2.2,3
25,2.3,3.2
26,2.4,3.6
27,3.6,4.9
28,3.6,5.6
29,5,8.3
33,2,2.1
34,2.1,2.3
35,2.2,3
36,2.3,3.2
37,2.3,4
38,2.3,4.8
39,5,8.3
44,2,2.1
45,2.1,2.3
46,2.2,3
47,2.3,3.2
48,2.3,4
49,2.3,4.1
55,2,2.1
56,2.1,2.3
57,2.3,2.9
58,2.3,3.2
59,2.3,3.5
66,2,2.1
67,2,2.2
68,2.2,2.9
69,2.3,3
77,1.9,2
78,2,2.2
79,2.1,2.3
88,1.9,2
89,2,2.2
